CFOP;Tipo;Categoria;Descrição Resumida do CFOP;Aplicação;Início da Vigência;Fim da Vigência;Válido para NFe (indNFe);Válido para Serviços de Comunicação (indComunica);Válido para Retenção de ICMS de Transporte (indTransp);Válido para Devolução (indDevol);Válido para Retorno de Mercadorias (indRetor);Válido para Anulação de Valor (indAnula);Válido para Remessa de Mercadorias (indRemes);Válido para Operações com Combustível (indComb);Válido para NFCe;Válido para CTe;Válido para CTe OS
1.124;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.124 - Industrialização efetuada por outra empresa;Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.125;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.125 - Industrialização efetuada por outra empresa quando a mercadoria remetida p/ utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria;Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.126;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.126 - Compra p/ utilização na prestação de serviço sujeita ao ICMS;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.128;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.128 - Compra p/ utilização na prestação de serviço sujeita ao ISSQN;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011 - DECRETO 36.465/2011.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.131;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.131 - Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo;Classificam-se neste código as entradas de mercadorias com previsão de posterior ajuste ou fixação de preço, proveniente de cooperado, bem como proveniente de outra cooperativa, em que a saída tenha sido classificada no código “5.131 - Remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço.”, (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.132;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização;Classificam-se neste código as entradas para comercialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo cuja saída tenha sido classificada sob o código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.”, (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.135;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.100 - Compras para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização;Classificam-se neste código as entradas para industrialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo cuja saída tenha sido classificada sob o código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.”, (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.151;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.150 - Transferências para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.151 - Transferência p/ industrialização ou produção rural;Entrada de mercadoria recebida, em transferência de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrialização ou produção rural.,(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.152;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.150 - Transferências para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.152 - Transferência p/ comercialização;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.153;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.150 - Transferências para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.153 - Transferência de energia elétrica p/ distribuição;Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.154;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.150 - Transferências para Industrialização, Produção Rural, Comercialização ou Prestação de Serviços;1.154 - Transferência p/ utilização na prestação de serviço;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.201;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.201 - Devolução de venda de produção do estabelecimento;"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de produção do estabelecimento"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).";01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.202;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.202 - Devolução de venda de mercadoria adquirida ou recebida de terceiros;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.203;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.203 - Devolução de venda de produção do estabelecimento, destinada à ZFM ou ALC;"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada no código ""5.109 – Venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).";01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.204;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.204 - Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à ZFM ou ALC;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.205;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.205 - Anulação de valor relativo à prestação de serviço de comunicação;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não
1.206;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.206 - Anulação de valor relativo à prestação de serviço de transporte;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;1-Sim;1-Sim
1.207;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.207 - Anulação de valor relativo à venda de energia elétrica;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não
1.208;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.208 - Devolução de produção do estabelecimento, remetida em transferência;Devolução de produto industrializado ou produzido pelo estabelecimento transferido para outro estabelecimento da mesma empresa. (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.209;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.209 - Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.212;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.212 - Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped);Classificam-se neste código as devoluções de vendas de produtos industrializados e insumos importados pelo estabelecimento. (AJUSTE SINIEF 5, DE 7 DE MARÇO DE 2016) efeitos a partir de 1º de abril de 2016.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.213;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.213 - Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo;Classificam-se neste código as devoluções de remessa que tenham sido classificadas no código “5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo.” (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.214;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.200 - Devoluções De Vendas De Produção Do Estabelecimento, De Produtos De Terceiros Ou Anulações De Valores;1.214 - Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo;Classificam-se neste código as devoluções de fixação de preço de produção do estabelecimento produtor cuja saída tenha sido classificada no código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.”, (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.251;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.251 - Compra de energia elétrica p/ distribuição ou comercialização;Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.252;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.252 - Compra de energia elétrica por estabelecimento industrial;Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.253;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.253 - Compra de energia elétrica por estabelecimento comercial;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.254;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.254 - Compra de energia elétrica por estabelecimento prestador de serviço de transporte;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.255;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.255 - Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.256;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.256 - Compra de energia elétrica por estabelecimento de produtor rural;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.257;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.250 - Compras De Energia Elétrica;1.257 - Compra de energia elétrica p/ consumo por demanda contratada;Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.301;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.300 - Aquisições De Serviços De Comunicação;1.301 - Aquisição de serviço de comunicação p/ execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.302;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.300 - Aquisições De Serviços De Comunicação;1.302 - Aquisição de serviço de comunicação por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.303;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.300 - Aquisições De Serviços De Comunicação;1.303 - Aquisição de serviço de comunicação por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.304;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.300 - Aquisições De Serviços De Comunicação;1.304 - Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.305;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.300 - Aquisições De Serviços De Comunicação;1.305 - Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.306;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.300 - Aquisições De Serviços De Comunicação;1.306 - Aquisição de serviço de comunicação por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.351;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.350 - Aquisições De Serviços De Transporte;1.351 - Aquisição de serviço de transporte p/ execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.352;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.350 - Aquisições De Serviços De Transporte;1.352 - Aquisição de serviço de transporte por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
1.353;1.000 - Entrada e/ou Aquisições de Serviços do Estado;1.350 - Aquisições De Serviços De Transporte;1.353 - Aquisição de serviço de transporte por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
